optimizer,learning_rate,accuracy,run
Nadam,0.070,0.7397260069847107,1
Adam,0.001,0.6849315166473389,2
Adam,0.002,0.8493150472640991,2
Adam,0.003,0.8630136847496033,2
Adam,0.005,0.8493150472640991,2
Adam,0.010,0.6849315166473389,2
Adam,0.015,0.7945205569267273,2
Adam,0.020,0.7397260069847107,2
Adam,0.030,0.8493150472640991,2
Adam,0.040,0.835616409778595,2
Adam,0.050,0.7534246444702148,2
Adam,0.060,0.6849315166473389,2
Adam,0.070,0.42465752363204956,2
SGD,0.001,0.5753424763679504,2
SGD,0.002,0.5890411138534546,2
SGD,0.003,0.6027397513389587,2
SGD,0.005,0.6164383292198181,2
SGD,0.010,0.6712328791618347,2
SGD,0.015,0.6712328791618347,2
SGD,0.020,0.6438356041908264,2
SGD,0.030,0.6438356041908264,2
SGD,0.040,0.6575342416763306,2
SGD,0.050,0.6712328791618347,2
SGD,0.060,0.6712328791618347,2
SGD,0.070,0.6712328791618347,2
RMSprop,0.001,0.8904109597206116,2
RMSprop,0.002,0.7808219194412231,2
RMSprop,0.003,0.7808219194412231,2
RMSprop,0.005,0.7534246444702148,2
RMSprop,0.010,0.8630136847496033,2
RMSprop,0.015,0.7945205569267273,2
RMSprop,0.020,0.8493150472640991,2
RMSprop,0.030,0.9178082346916199,2
RMSprop,0.040,0.42465752363204956,2
RMSprop,0.050,0.7397260069847107,2
RMSprop,0.060,0.7397260069847107,2
RMSprop,0.070,0.7123287916183472,2
Adagrad,0.001,0.5753424763679504,2
Adagrad,0.002,0.6712328791618347,2
Adagrad,0.003,0.6301369667053223,2
Adagrad,0.005,0.6712328791618347,2
Adagrad,0.010,0.6712328791618347,2
Adagrad,0.015,0.6712328791618347,2
Adagrad,0.020,0.6712328791618347,2
Adagrad,0.030,0.8493150472640991,2
Adagrad,0.040,0.6575342416763306,2
Adagrad,0.050,0.6712328791618347,2
Adagrad,0.060,0.6849315166473389,2
Adagrad,0.070,0.8767123222351074,2
Adadelta,0.001,0.42465752363204956,2
Adadelta,0.002,0.42465752363204956,2
Adadelta,0.003,0.42465752363204956,2
Adadelta,0.005,0.4383561611175537,2
Adadelta,0.010,0.4383561611175537,2
Adadelta,0.015,0.5753424763679504,2
Adadelta,0.020,0.5890411138534546,2
Adadelta,0.030,0.5753424763679504,2
Adadelta,0.040,0.6712328791618347,2
Adadelta,0.050,0.6712328791618347,2
Adadelta,0.060,0.6849315166473389,2
Adadelta,0.070,0.6712328791618347,2
AdamW,0.001,0.835616409778595,2
AdamW,0.002,0.7808219194412231,2
AdamW,0.003,0.7808219194412231,2
AdamW,0.005,0.8493150472640991,2
AdamW,0.010,0.7945205569267273,2
AdamW,0.015,0.8219178318977356,2
AdamW,0.020,0.6849315166473389,2
AdamW,0.030,0.7945205569267273,2
AdamW,0.040,0.6301369667053223,2
AdamW,0.050,0.7397260069847107,2
AdamW,0.060,0.7397260069847107,2
AdamW,0.070,0.6575342416763306,2
Nadam,0.001,0.7534246444702148,2
Nadam,0.002,0.8493150472640991,2
Nadam,0.003,0.8904109597206116,2
Nadam,0.005,0.767123281955719,2
Nadam,0.010,0.8767123222351074,2
Nadam,0.015,0.7534246444702148,2
Nadam,0.020,0.7397260069847107,2
Nadam,0.030,0.698630154132843,2
Nadam,0.040,0.42465752363204956,2
Nadam,0.050,0.42465752363204956,2
Nadam,0.060,0.5890411138534546,2
Nadam,0.070,0.42465752363204956,2
Adam,0.001,0.7945205569267273,3
Adam,0.002,0.8219178318977356,3
Adam,0.003,0.835616409778595,3
Adam,0.005,0.8630136847496033,3
Adam,0.010,0.8219178318977356,3
Adam,0.015,0.8219178318977356,3
Adam,0.020,0.8082191944122314,3
Adam,0.030,0.8082191944122314,3
Adam,0.040,0.7397260069847107,3
Adam,0.050,0.6849315166473389,3
Adam,0.060,0.7260273694992065,3
Adam,0.070,0.7397260069847107,3
SGD,0.001,0.5890411138534546,3
SGD,0.002,0.5753424763679504,3
SGD,0.003,0.5890411138534546,3
SGD,0.005,0.5890411138534546,3
SGD,0.010,0.6712328791618347,3
SGD,0.015,0.6712328791618347,3
SGD,0.020,0.6712328791618347,3
SGD,0.030,0.6575342416763306,3
SGD,0.040,0.6438356041908264,3
SGD,0.050,0.6575342416763306,3
SGD,0.060,0.6575342416763306,3
SGD,0.070,0.6712328791618347,3
RMSprop,0.001,0.9041095972061157,3
RMSprop,0.002,0.767123281955719,3
RMSprop,0.003,0.7945205569267273,3
RMSprop,0.005,0.8082191944122314,3
RMSprop,0.010,0.7808219194412231,3
RMSprop,0.015,0.7945205569267273,3
RMSprop,0.020,0.8493150472640991,3
RMSprop,0.030,0.8082191944122314,3
RMSprop,0.040,0.6849315166473389,3
RMSprop,0.050,0.8219178318977356,3
RMSprop,0.060,0.42465752363204956,3
RMSprop,0.070,0.7397260069847107,3
Adagrad,0.001,0.6027397513389587,3
Adagrad,0.002,0.5890411138534546,3
Adagrad,0.003,0.6575342416763306,3
Adagrad,0.005,0.6575342416763306,3
Adagrad,0.010,0.6712328791618347,3
Adagrad,0.015,0.6712328791618347,3
Adagrad,0.020,0.6849315166473389,3
Adagrad,0.030,0.6712328791618347,3
Adagrad,0.040,0.8767123222351074,3
Adagrad,0.050,0.6849315166473389,3
Adagrad,0.060,0.8767123222351074,3
